cluster,centroid_lat,centroid_lon,point_count
55,12.910347522471909,77.64448534831462,89
41,12.979779656976744,77.65305063953488,86
101,13.05735654819277,77.54701245783133,83
57,12.8941595,77.59871930379747,79
52,12.91719835064935,77.595792,77
99,13.04583465131579,77.75029639473684,76
69,13.084090153333333,77.63680924,75
60,12.939680986486486,77.4933227027027,74
91,12.883203236111111,77.5970891111111,72
110,12.912916423611112,77.48218601388889,72
42,12.89532304347826,77.56929726086956,69
90,12.903818420289856,77.70391355072464,69
29,12.951121139705881,77.60693447058824,68
36,12.854905597014925,77.66382774626867,67
74,13.054471827868852,77.50752999999999,61
81,12.975802442622951,77.53171060655738,61
20,12.940832423728812,77.74720759322034,59
79,12.87033724137931,77.65558644827586,58
19,13.003447258620689,77.72349429310346,58
34,13.012895438596491,77.62633005263159,57
56,13.014188418181817,77.49184192727273,55
43,12.896618109090909,77.72007332727271,55
62,13.035242423076921,77.7349939423077,52
54,12.85669905,77.58896294,50
107,12.98906696,77.68873882,50
78,13.00336243,77.66256036,50
109,12.992676770833334,77.71677408333333,48
120,12.956313760869566,77.73187910869565,46
131,13.057946011363635,77.46997854545454,44
73,13.108207890243904,77.60301563414635,41
28,12.920366890243901,77.64493485365854,41
118,12.894576158536585,77.65727668292682,41
100,13.059674463414634,77.64971417073171,41
87,12.98708585,77.4761406,40
70,12.8619656,77.529992425,40
68,12.876201175,77.671205125,40
89,13.002186897435896,77.63306446153847,39
128,12.850895999999999,77.65745794871795,39
92,12.930697263157894,77.59257692105263,38
64,12.875944972972974,77.6167182972973,37
102,12.920806756756756,77.60052697297297,37
147,12.938309680555555,77.59259411111111,36
115,12.917046,77.50018666666666,36
72,13.244609916666667,77.71354327777777,36
71,13.020974323529412,77.65670361764705,34
130,13.047009102941175,77.54854214705881,34
106,12.999651984375,77.48877875,32
38,13.026464625000001,77.63057034375,32
116,13.061135903225807,77.57686174193547,31
126,12.938092661290323,77.55633387096773,31
93,13.144322566666666,77.6178705,30
142,13.026920875,77.51889982142858,28
125,13.045901185185185,77.52245292592592,27
17,13.026374444444444,77.72055300000001,27
149,13.097921060000001,77.5665878,25
136,13.01847492,77.70677056,25
150,12.883530625,77.549363125,24
46,13.055016979166666,77.5348135,24
158,13.004662458333334,77.71269445833333,24
124,13.116813500000001,77.577943,23
111,13.054004130434782,77.76224791304348,23
80,12.961871847826089,77.61510269565217,23
53,13.047776847826086,77.54263413043478,23
104,12.973433045454545,77.51260359090908,22
140,12.887565545454544,77.64961690909091,22
112,13.02077793181818,77.61351945454545,22
123,13.00936719047619,77.6585249047619,21
119,13.081749625,77.54839955,20
129,13.0109642,77.50624805,20
153,13.197427825,77.70615360000001,20
132,13.0796645,77.55923278947368,19
145,13.08520411111111,77.48646805555556,18
37,12.98196688888889,77.62407994444445,18
85,12.985858088235295,77.48703852941176,17
30,12.93801905882353,77.53291764705882,17
161,12.902542117647059,77.64050888235295,17
154,13.060747676470589,77.46131894117647,17
12,12.954827875,77.62215225,16
121,13.1755354375,77.6354875,16
135,13.0070453125,77.6217999375,16
152,12.805907125000001,77.6993063125,16
141,12.913862375,77.66660725,16
98,13.0193031875,77.6187935,16
82,12.945669933333333,77.60267693333334,15
122,13.068345933333335,77.53013106666667,15
117,13.043371678571429,77.55364671428572,14
127,12.993893607142857,77.75746271428571,14
97,12.90786732142857,77.53319171428572,14
84,13.043287071428571,77.58379071428571,14
156,13.041762571428572,77.61342814285715,14
86,12.899820307692307,77.64621707692308,13
137,13.045187153846154,77.62700907692307,13
133,12.901461875,77.66041966666667,12
94,12.983570791666667,77.679898,12
160,13.248481416666666,77.71561583333333,12
103,13.028573333333334,77.66351733333333,12
155,12.96037825,77.50495383333333,12
144,13.064867833333333,77.57124283333333,12
114,12.98344425,77.76843608333333,12
159,12.889298727272728,77.67083363636364,11
148,12.89206409090909,77.63219,11
105,13.026538772727271,77.58902472727273,11
108,12.942090136363635,77.54828181818182,11
157,13.022626227272726,77.60138336363637,11
134,13.01453581818182,77.57431872727273,11
139,13.16135709090909,77.6265359090909,11
146,13.068278727272725,77.58025172727274,11
83,12.92457215,77.62839,10
67,12.948231799999999,77.5592085,10
113,12.925072,77.49883559999999,10
138,13.0507597,77.51529830000001,10
143,12.923290249999999,77.5614439,10
151,13.0355405,77.5139221,10
162,12.980348150000001,77.7258723,10
163,12.9667815,77.5038367,10
