rank,police_station,violation_total,avg_severity,avg_congestion,habitual_count,heavy_veh_count,violation_total_norm,avg_severity_norm,avg_congestion_norm,priority_score
22,K.S. Layout,475,3.223157894736842,31.064084210526318,0,21,0.025174304114107978,0.4641265125014691,0.43129308240662045,0.2787
23,Rajajinagar,4578,3.0613805155089557,31.42941896024465,40,328,0.24354675608067253,0.12765994513574658,0.459016363596287,0.2734
24,Vijayanagara,6956,3.0251581368602647,29.544324324324325,27,102,0.37011017084462344,0.05232420002778231,0.315966712006769,0.2585
25,Jnanabharathi,761,3.106438896189225,33.02847568988173,0,29,0.04039597636915001,0.22137291508806758,0.5803601432070029,0.2567
26,Halasur,2525,3.063762376237624,32.2997702970297,17,57,0.13428069615199667,0.13261376814328377,0.5250626262693485,0.251
27,Peenya,430,3.1209302325581394,32.51958139534884,0,63,0.022779285752300666,0.2515121732950039,0.5417429034453058,0.2471
28,Sadashivanagar,767,3.1290743155149934,31.89279009126467,2,13,0.04071531215072432,0.2684503364047819,0.49417909632386353,0.2451
29,Devanahalli Airport,362,3.0497237569060776,34.05237569060773,0,10,0.019160146894458503,0.1034160763548311,0.6580583847570108,0.2361
30,Jalahalli,514,3.1459143968871595,30.116400778210117,0,25,0.027249986694340984,0.3034745431294478,0.3593785046306319,0.2098
31,Unknown,2,3.0,34.55,0,0,0.0,0.0,0.6958204062092043,0.2087
32,Bellandur,2156,3.0589053803339517,30.799373840445266,0,70,0.11464154558517671,0.12251212879656197,0.41120564197223625,0.206
33,J.P. Nagar,758,3.0963060686015833,31.0740765171504,0,37,0.04023630847836286,0.2002985366280241,0.4320513445935226,0.2058
34,Chikkabanavara,354,3.0649717514124295,31.551101694915253,0,60,0.018734365852359425,0.13512904138893939,0.468250209190777,0.1885
35,V.V.Puram (C.Pet),685,3.0291970802919708,32.20300729927008,0,62,0.036351056469208776,0.06072444386123059,0.5177198049316208,0.1881
36,Kodigehalli,2874,3.0657620041753653,28.971934585942936,16,100,0.15285539411356897,0.13677261872815272,0.27253114591440764,0.1839
37,Halasuru Gate,2789,3.0268913589100035,30.07844747221226,0,224,0.14833147054126625,0.05592897639603289,0.3564984332028051,0.1831
38,Jayanagara,2228,3.0812387791741473,29.01020197486535,0,64,0.11847357496406842,0.16896140422205333,0.2754350513991948,0.1807
39,Hulimavu,902,3.0011086474501107,32.19794900221729,0,179,0.04790036723614626,0.0023057784947305153,0.517335958085288,0.1751
40,Yelahanka,1305,3.0620689655172413,30.05311877394636,0,102,0.0693490872318873,0.12909179186361602,0.3545763750773867,0.1728
41,Cubbon Park,1907,3.0519140010487678,29.50767697954903,1,21,0.10138911064984292,0.10797137284869854,0.31318574292336393,0.1669
42,Sheshadripuram,1838,3.047334058759521,29.595103373231776,13,59,0.09771674916173836,0.09844595298993541,0.3198200597994179,0.1646
43,HSR Layout,2171,3.0400736987563337,28.833021649009673,0,166,0.11543988503911248,0.0833457676625993,0.26198979332078653,0.1498
44,Magadi Road,3820,3.068848167539267,26.45974607329843,0,130,0.2032040023417849,0.1431912589505235,0.08189472659982044,0.1488
45,Thalagattapura,542,3.059040590405904,29.15649446494465,0,19,0.028740220341687755,0.12279334035407548,0.28653639842827383,0.1343
46,R.T. Nagar,1015,3.027586206896552,29.530433497536944,0,34,0.05391452445579573,0.05737412971716288,0.3149126121783775,0.1333
47,Adugodi,1675,3.0394029850746267,28.447546268656716,0,34,0.08904146042896965,0.08195080916317093,0.23273814844041876,0.13
48,Wilson Garden,2151,3.03207810320781,28.080292887029287,0,63,0.11437543243386479,0.06671643047654696,0.20486927263661728,0.1272
49,Pulikeshinagar(F.Town),1765,3.0458923512747877,27.93958073654391,0,45,0.09383149715258428,0.09544747217111611,0.1941913874430615,0.1244
50,Basavanagudi,1706,3.0468933177022275,27.555773739742087,0,29,0.09069136196710359,0.09752929436094503,0.1650663471803929,0.1151
51,High ground,3194,3.0153412648716342,26.95132122730119,47,43,0.16988663579753208,0.031906949877930434,0.11919771031757295,0.1133
52,Kamakshipalya,850,3.052941176470588,27.16189411764706,0,40,0.04513279046250225,0.11010770482484875,0.13517694978077807,0.0916
53,Ashok Nagar,2351,3.04381114419396,25.881922586133562,0,59,0.12501995848634173,0.09111895228900771,0.03804682265688642,0.0888
54,Hebbala,1256,3.0103503184713376,25.471472929936304,0,16,0.06674117834903046,0.021526718653832023,0.006900014854640428,0.0352
55,Banashankari,697,3.03012912482066,25.380545193687233,0,24,0.03698972803235739,0.06266292144503637,0.0,0.0336
